Designator,Mid X,Mid Y,Rotation,Layer
C1,156.9,-74.46,270.0,top
C10,114.0,-89.9,270.0,top
C11,116.2,-89.9,270.0,top
C12,191.475,-100.0508,90.0,top
C13,115.1,-89.9,270.0,top
C14,188.525,-100.07,270.0,top
C15,177.05,-103.55,90.0,top
C16,175.75,-103.35,90.0,top
C17,190.025,-101.475,0.0,top
C18,110.85,-99.2,180.0,top
C19,194.725,-102.5,180.0,top
C2,157.275,-81.585,0.0,top
C20,192.825,-100.05,90.0,top
C21,142.5,-100.6,90.0,top
C22,144.7,-88.3,180.0,top
C23,152.3,-86.451851,270.0,top
C24,147.92,-83.325,180.0,top
C25,142.8,-83.1,0.0,top
C26,151.8,-82.351851,0.0,top
C27,148.3,-81.751851,180.0,top
C28,145.3,-85.351851,90.0,top
C29,148.3,-79.651851,180.0,top
C3,157.275,-79.985,0.0,top
C30,143.3,-85.351851,90.0,top
C31,148.3,-77.551851,180.0,top
C32,153.175,-67.735,0.0,top
C33,151.175,-61.235,0.0,top
C34,148.13,-63.365,270.0,top
C4,162.3,-79.585,180.0,top
C5,162.4,-78.285,180.0,top
C6,164.7,-84.685,90.0,top
C7,166.525,-77.985,0.0,top
C8,166.525,-79.585,0.0,top
C9,166.55,-80.885,0.0,top
D1,90.328319,-105.229344,355.0,bottom
D10,111.532744,-145.962666,310.0,bottom
D11,115.685414,-149.149122,305.0,bottom
D12,120.1,-151.961524,300.0,bottom
D13,124.742905,-154.378467,295.0,bottom
D14,129.578792,-156.381557,290.0,bottom
D15,134.570858,-157.955549,285.0,bottom
D16,139.68111,-159.088465,280.0,bottom
D17,144.870656,-159.771681,275.0,bottom
D18,150.1,-160.0,270.0,bottom
D19,155.329345,-159.771681,265.0,bottom
D2,91.011535,-110.41889,350.0,bottom
D20,160.518891,-159.088465,260.0,bottom
D21,165.629143,-157.955549,255.0,bottom
D22,170.621209,-156.381557,250.0,bottom
D23,175.457096,-154.378467,245.001,bottom
D24,180.1,-151.961524,240.0,bottom
D25,184.514587,-149.149122,235.0,bottom
D26,188.667257,-145.962666,230.0,bottom
D27,192.526407,-142.426406,225.0,bottom
D28,196.062667,-138.567256,220.0,bottom
D29,199.249123,-134.414586,215.0,bottom
D3,92.144451,-115.529142,345.0,bottom
D30,202.061525,-130.0,210.0,bottom
D31,204.478468,-125.357095,205.0,bottom
D32,206.481558,-120.521208,200.0,bottom
D33,208.05555,-115.529142,195.0,bottom
D34,209.188466,-110.41889,190.0,bottom
D35,209.871682,-105.229344,185.0,bottom
D36,210.1,-100.0,180.0,bottom
D37,209.871682,-94.770655,175.0,bottom
D38,209.188466,-89.581109,170.0,bottom
D39,208.05555,-84.470857,165.0,bottom
D4,93.718443,-120.521208,340.0,bottom
D40,206.481558,-79.478791,160.0,bottom
D41,204.478468,-74.642904,155.0,bottom
D42,202.061525,-70.0,150.0,bottom
D43,199.249123,-65.585413,145.0,bottom
D44,196.062667,-61.432743,140.0,bottom
D45,192.526407,-57.573593,135.0,bottom
D46,188.667257,-54.037333,130.0,bottom
D47,184.514587,-50.850877,125.0,bottom
D48,180.100001,-48.038475,120.0,bottom
D49,175.457096,-45.621532,115.0,bottom
D5,95.721533,-125.357095,335.0,bottom
D50,170.621209,-43.618442,110.0,bottom
D51,165.629143,-42.04445,105.0,bottom
D52,160.518891,-40.911534,100.0,bottom
D53,155.329345,-40.228318,95.0,bottom
D54,150.1,-40.0,90.0,bottom
D55,144.870656,-40.228318,85.0,bottom
D56,139.68111,-40.911534,80.0,bottom
D57,134.570858,-42.04445,75.0,bottom
D58,129.578792,-43.618442,70.0,bottom
D59,124.742905,-45.621532,65.0,bottom
D6,98.138476,-130.0,330.0,bottom
D60,120.1,-48.038475,60.0,bottom
D61,115.685414,-50.850877,55.0,bottom
D62,111.532744,-54.037333,50.0,bottom
D63,107.673594,-57.573593,45.0,bottom
D64,104.137334,-61.432743,40.0,bottom
D65,100.950878,-65.585413,35.0,bottom
D66,98.138476,-69.999999,30.0,bottom
D67,95.721533,-74.642904,25.0,bottom
D68,93.718443,-79.478791,20.0,bottom
D69,92.144451,-84.470857,15.0,bottom
D7,100.950878,-134.414586,325.0,bottom
D70,91.011535,-89.581109,10.0,bottom
D71,90.328319,-94.770655,5.0,bottom
D72,90.1,-99.999999,0.0,bottom
D73,142.975,-100.8,180.0,bottom
D74,142.9625,-102.425,180.0,bottom
D8,104.137334,-138.567256,320.0,bottom
D9,107.673594,-142.426406,315.0,bottom
J1,158.6,-102.415,180.0,top
J2,114.0,-113.81,180.0,top
J3,150.0,-100.0,0.0,bottom
J4,143.7,-74.435,180.0,top
J5,178.9,-89.93,90.0,top
J6,143.18,-70.85,90.0,top
J7,143.165,-67.65,270.0,top
L1,153.8,-76.685,270.0,top
L2,165.3,-73.385,0.0,top
L3,113.3725,-104.5,0.0,top
L4,144.7,-80.851851,90.0,top
Q1,106.8875,-100.0,180.0,top
Q2,108.9625,-96.7,0.0,top
R1,158.2,-74.975,270.0,top
R10,175.55,-98.95,180.0,top
R11,170.25,-94.05,180.0,top
R12,123.3,-102.2,90.0,top
R13,111.2,-104.5,0.0,top
R14,140.375,-100.8,0.0,bottom
R15,140.375,-102.425,0.0,bottom
R16,152.325,-84.45,90.0,top
R17,153.5,-84.961851,90.0,top
R18,151.575,-67.135,270.0,top
R19,153.185,-66.635,180.0,top
R20,151.175,-60.135,0.0,top
R21,149.575,-67.135,90.0,top
R22,104.2,-99.95,90.0,top
R23,111.3,-101.1,270.0,top
R24,150.5,-94.9,0.0,top
R25,121.25,-73.45,0.0,top
R26,118.94,-103.9,0.0,top
R27,121.0,-103.9,180.0,top
R28,197.675,-99.45,180.0,top
R29,197.675,-100.475,180.0,top
R3,159.8,-76.885,180.0,top
R4,159.81,-75.885,0.0,top
R5,160.0,-83.085,270.0,top
R7,161.7,-86.285,0.0,top
R8,161.7,-87.285,180.0,top
R9,168.35,-94.05,0.0,top
SW1,135.857864,-85.857865,45.0,bottom
U1,157.3,-77.7475,270.0,top
U2,162.3,-83.585,90.0,top
U3,167.3,-100.5,180.0,top
U4,195.0,-100.0,270.0,top
U5,117.3,-97.0,270.0,top
U6,190.0,-100.0,0.0,top
U7,149.5,-86.085,90.0,top
U8,150.63,-63.985,270.0,top
U9,152.999999,-93.325,90.0,top
